Camera ID,Camera Name,Event Created At
3,PTZ-Danna Top,2024-05-17 05:08:20.924854+00:00
5,PTZ-Oghi Solar,2024-05-17 05:01:17.736695+00:00
7,PTZ-Badrosha,2024-05-17 04:46:28.022860+00:00
3,PTZ-Danna Top,2024-05-17 04:37:35.165939+00:00
5,PTZ-Oghi Solar,2024-05-17 04:26:45.249712+00:00
7,PTZ-Badrosha,2024-05-17 04:12:20.071185+00:00
3,PTZ-Danna Top,2024-05-17 04:06:49.064886+00:00
5,PTZ-Oghi Solar,2024-05-17 03:52:13.408491+00:00
7,PTZ-Badrosha,2024-05-17 03:38:13.690283+00:00
3,PTZ-Danna Top,2024-05-17 03:36:04.019238+00:00
5,PTZ-Oghi Solar,2024-05-17 03:17:43.377577+00:00
3,PTZ-Danna Top,2024-05-17 03:05:18.264357+00:00
7,PTZ-Badrosha,2024-05-17 03:04:07.258169+00:00
5,PTZ-Oghi Solar,2024-05-17 02:43:12.342551+00:00
3,PTZ-Danna Top,2024-05-17 02:34:32.672652+00:00
7,PTZ-Badrosha,2024-05-17 02:30:02.263009+00:00
5,PTZ-Oghi Solar,2024-05-17 02:08:55.597370+00:00
3,PTZ-Danna Top,2024-05-17 02:03:47.729190+00:00
7,PTZ-Badrosha,2024-05-17 01:55:57.210915+00:00
5,PTZ-Oghi Solar,2024-05-17 01:34:07.979434+00:00
3,PTZ-Danna Top,2024-05-17 01:33:03.244250+00:00
7,PTZ-Badrosha,2024-05-17 01:21:48.743189+00:00
8,PTZ-Massar Sector 14,2024-05-17 01:03:04.761722+00:00
3,PTZ-Danna Top,2024-05-17 01:02:17.547201+00:00
5,PTZ-Oghi Solar,2024-05-17 00:59:36.048850+00:00
7,PTZ-Badrosha,2024-05-17 00:47:42.223073+00:00
8,PTZ-Massar Sector 14,2024-05-17 00:42:47.897003+00:00
3,PTZ-Danna Top,2024-05-17 00:31:32.220966+00:00
5,PTZ-Oghi Solar,2024-05-17 00:25:04.379390+00:00
7,PTZ-Badrosha,2024-05-17 00:13:36.960469+00:00
3,PTZ-Danna Top,2024-05-17 00:00:46.932095+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:58:20.148987+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:56:03.858671+00:00
5,PTZ-Oghi Solar,2024-05-16 23:50:33.842788+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:46:30.091036+00:00
7,PTZ-Badrosha,2024-05-16 23:39:30.657273+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:34:42.138419+00:00
3,PTZ-Danna Top,2024-05-16 23:30:02.113477+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:25:22.994553+00:00
5,PTZ-Oghi Solar,2024-05-16 23:16:03.173885+00:00
8,PTZ-Massar Sector 14,2024-05-16 23:15:54.708903+00:00
7,PTZ-Badrosha,2024-05-16 23:05:25.175756+00:00
3,PTZ-Danna Top,2024-05-16 22:59:16.997480+00:00
5,PTZ-Oghi Solar,2024-05-16 22:41:31.392272+00:00
7,PTZ-Badrosha,2024-05-16 22:31:19.204138+00:00
3,PTZ-Danna Top,2024-05-16 22:28:32.936086+00:00
8,PTZ-Massar Sector 14,2024-05-16 22:26:58.250811+00:00
5,PTZ-Oghi Solar,2024-05-16 22:06:59.869783+00:00
8,PTZ-Massar Sector 14,2024-05-16 22:00:06.421672+00:00
3,PTZ-Danna Top,2024-05-16 21:57:46.686416+00:00
7,PTZ-Badrosha,2024-05-16 21:57:12.998883+00:00
5,PTZ-Oghi Solar,2024-05-16 21:32:36.327139+00:00
8,PTZ-Massar Sector 14,2024-05-16 21:28:24.245789+00:00
3,PTZ-Danna Top,2024-05-16 21:27:01.942475+00:00
7,PTZ-Badrosha,2024-05-16 21:23:06.551466+00:00
5,PTZ-Oghi Solar,2024-05-16 20:57:57.059055+00:00
3,PTZ-Danna Top,2024-05-16 20:56:17.076773+00:00
8,PTZ-Massar Sector 14,2024-05-16 20:55:47.528880+00:00
7,PTZ-Badrosha,2024-05-16 20:49:00.038742+00:00
8,PTZ-Massar Sector 14,2024-05-16 20:35:17.276473+00:00
8,PTZ-Massar Sector 14,2024-05-16 20:27:11.275811+00:00
3,PTZ-Danna Top,2024-05-16 20:25:31.111528+00:00
5,PTZ-Oghi Solar,2024-05-16 20:23:26.450739+00:00
7,PTZ-Badrosha,2024-05-16 20:14:54.452268+00:00
8,PTZ-Massar Sector 14,2024-05-16 20:13:08.012372+00:00
3,PTZ-Danna Top,2024-05-16 19:54:46.208265+00:00
8,PTZ-Massar Sector 14,2024-05-16 19:53:06.739311+00:00
5,PTZ-Oghi Solar,2024-05-16 19:48:54.017037+00:00
7,PTZ-Badrosha,2024-05-16 19:40:47.339091+00:00
3,PTZ-Danna Top,2024-05-16 19:24:01.648050+00:00
5,PTZ-Oghi Solar,2024-05-16 19:14:23.388816+00:00
7,PTZ-Badrosha,2024-05-16 19:06:40.751907+00:00
8,PTZ-Massar Sector 14,2024-05-16 18:54:33.367547+00:00
3,PTZ-Danna Top,2024-05-16 18:53:15.819639+00:00
5,PTZ-Oghi Solar,2024-05-16 18:39:54.271098+00:00
7,PTZ-Badrosha,2024-05-16 18:32:35.569911+00:00
8,PTZ-Massar Sector 14,2024-05-16 18:27:46.320615+00:00
3,PTZ-Danna Top,2024-05-16 18:22:33.417443+00:00
5,PTZ-Oghi Solar,2024-05-16 18:05:23.142682+00:00
7,PTZ-Badrosha,2024-05-16 17:58:29.693681+00:00
3,PTZ-Danna Top,2024-05-16 17:51:46.274893+00:00
5,PTZ-Oghi Solar,2024-05-16 17:30:49.095755+00:00
7,PTZ-Badrosha,2024-05-16 17:24:23.580135+00:00
3,PTZ-Danna Top,2024-05-16 17:21:01.796278+00:00
5,PTZ-Oghi Solar,2024-05-16 16:56:17.249140+00:00
7,PTZ-Badrosha,2024-05-16 16:50:18.568230+00:00
3,PTZ-Danna Top,2024-05-16 16:50:15.808466+00:00
5,PTZ-Oghi Solar,2024-05-16 16:21:45.719410+00:00
3,PTZ-Danna Top,2024-05-16 16:19:32.153078+00:00
7,PTZ-Badrosha,2024-05-16 16:16:14.588494+00:00
3,PTZ-Danna Top,2024-05-16 15:48:52.690957+00:00
5,PTZ-Oghi Solar,2024-05-16 15:47:14.335576+00:00
7,PTZ-Badrosha,2024-05-16 15:42:06.008036+00:00
5,PTZ-Oghi Solar,2024-05-16 15:12:42.963483+00:00
7,PTZ-Badrosha,2024-05-16 15:07:58.681969+00:00
3,PTZ-Danna Top,2024-05-16 14:44:05.729382+00:00
5,PTZ-Oghi Solar,2024-05-16 14:38:11.567627+00:00
7,PTZ-Badrosha,2024-05-16 14:33:51.397765+00:00
3,PTZ-Danna Top,2024-05-16 14:13:19.390748+00:00
5,PTZ-Oghi Solar,2024-05-16 14:03:40.054718+00:00
7,PTZ-Badrosha,2024-05-16 13:59:45.668922+00:00
3,PTZ-Danna Top,2024-05-16 13:42:35.580916+00:00
5,PTZ-Oghi Solar,2024-05-16 13:29:08.753567+00:00
7,PTZ-Badrosha,2024-05-16 13:25:42.538515+00:00
3,PTZ-Danna Top,2024-05-16 13:11:50.314167+00:00
5,PTZ-Oghi Solar,2024-05-16 12:54:37.409680+00:00
7,PTZ-Badrosha,2024-05-16 12:51:33.438153+00:00
3,PTZ-Danna Top,2024-05-16 12:41:04.960893+00:00
5,PTZ-Oghi Solar,2024-05-16 12:20:05.689215+00:00
7,PTZ-Badrosha,2024-05-16 12:17:27.380758+00:00
3,PTZ-Danna Top,2024-05-16 12:10:20.047023+00:00
5,PTZ-Oghi Solar,2024-05-16 11:45:42.579978+00:00
7,PTZ-Badrosha,2024-05-16 11:43:20.957630+00:00
3,PTZ-Danna Top,2024-05-16 11:39:34.195390+00:00
5,PTZ-Oghi Solar,2024-05-16 11:11:01.451359+00:00
7,PTZ-Badrosha,2024-05-16 11:09:19.073385+00:00
3,PTZ-Danna Top,2024-05-16 11:08:49.553262+00:00
3,PTZ-Danna Top,2024-05-16 10:38:07.650883+00:00
5,PTZ-Oghi Solar,2024-05-16 10:37:15.737635+00:00
7,PTZ-Badrosha,2024-05-16 10:35:18.671566+00:00
3,PTZ-Danna Top,2024-05-16 10:08:25.569933+00:00
